questionnaire_id,questionnaire_title,response_id,submitted_at_iso,rater_id,rater_username,book_id,book_title,book_url,question_id,question_scope,question_order,question_text,page_number,likert
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,2,5
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,3,5
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,4,5
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,5,5
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,6,5
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,7,5
13,Ed Sci Exp 3 Teacher,214,2025-09-10T08:55:52.870990+00:00,158,vkreusch,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,154,PAGE,3,How culturally appropriate is the image?,8,5
13,Ed Sci Exp 3 Teacher,283,2025-09-15T04:15:38.728879+00:00,192,lorelei4106,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,190,BOOK,1,How well do the images correspond to the text?,,3
13,Ed Sci Exp 3 Teacher,283,2025-09-15T04:15:38.728879+00:00,192,lorelei4106,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,191,BOOK,2,How accurate are the glosses?,,4
13,Ed Sci Exp 3 Teacher,283,2025-09-15T04:15:38.728879+00:00,192,lorelei4106,304,Erste Probe im Blasorchester (B2),/accounts/public_content/304/,192,BOOK,3,How accurate are the translations?,,5
